age,income,data_usage,budget,international_calls,high_speed_internet,plan_id
50,4515,6,69,0,1,2
18,700,8,130,0,1,4
36,477,8,31,0,1,3
19,3275,8,22,0,0,3
70,29772,15,145,1,1,4
61,11565,14,59,0,0,4
43,4344,7,137,0,0,1
49,6536,10,82,0,1,4
23,7048,11,100,0,0,4
49,580,6,142,0,1,2
72,3669,7,146,0,1,2
21,11084,9,132,0,1,4
72,24133,11,106,0,1,4
28,4943,9,42,1,0,3
73,766,14,115,1,1,4
34,5277,10,62,0,1,4
55,5191,11,62,0,1,4
41,7109,9,96,1,1,4
22,4475,7,65,0,1,2
69,19153,8,52,1,0,4
51,3605,11,37,0,1,3
23,3163,5,43,1,1,2
39,2293,10,102,0,1,4
28,3285,5,113,0,1,2
65,3942,13,50,0,1,4
33,3368,7,41,0,1,2
50,6520,11,81,0,1,4
26,375,10,60,1,1,4
23,2601,9,134,0,1,4
33,5002,12,122,1,1,4
46,3951,4,133,1,1,3
20,833,11,120,0,1,4
37,5065,11,62,1,1,4
53,3131,13,20,1,1,3
36,6402,13,118,0,1,4
43,5304,13,102,0,1,4
20,4124,12,124,0,0,4
36,2991,13,43,0,1,3
37,3968,10,113,0,1,4
49,3976,13,116,0,1,4
24,11242,9,93,0,1,4
69,59297,6,80,1,1,3
58,1018,11,64,0,0,4
50,210,5,108,1,1,3
57,1758,5,93,1,1,3
56,1163,5,81,0,1,2
35,6912,9,104,0,1,4
57,13254,5,54,0,1,2
18,6737,13,144,0,1,4
28,2177,10,118,0,0,4
45,6200,9,44,1,1,3
74,10045,9,102,1,1,4
42,5799,6,141,0,1,2
67,5174,10,46,0,1,3
40,2657,7,132,0,1,2
48,881,10,103,0,1,4
47,8924,9,31,0,1,3
59,16227,10,102,1,1,4
52,751,12,93,0,1,4
24,6412,9,52,1,1,4
33,1336,8,57,0,1,4
43,4753,12,133,0,1,4
65,735,8,138,1,1,4
74,6507,9,47,0,0,3
69,4571,14,146,0,1,4
66,6816,9,20,0,1,3
19,5695,16,97,1,1,4
18,3592,12,115,1,0,4
65,6556,8,138,0,1,4
29,1908,12,58,1,1,4
22,5300,8,61,0,1,4
54,1715,10,86,0,1,4
49,5569,5,133,0,0,1
72,2461,11,36,0,1,3
26,4860,13,35,1,1,3
58,2237,9,73,0,1,4
52,2280,8,140,1,0,4
36,2384,7,109,0,1,2
65,787,12,87,0,1,4
33,7083,11,93,0,1,4
20,3122,12,146,0,1,4
37,821,11,133,1,1,4
41,1732,8,56,1,1,4
71,1637,9,76,1,1,4
73,4445,12,73,1,1,4
50,2417,7,37,0,1,2
41,7383,13,115,0,1,4
69,902,11,142,1,1,4
28,4598,11,29,1,1,3
66,4248,15,24,0,1,3
25,1958,9,123,1,1,4
53,3845,18,107,1,1,4
55,2873,10,143,1,1,4
57,9978,16,53,0,1,4
37,3245,11,128,0,1,4
52,9299,13,25,0,1,3
65,6863,9,146,0,1,4
42,857,16,88,0,1,4
52,2742,13,87,0,1,4
42,6850,9,129,0,1,4
46,3805,6,139,0,1,2
35,3235,12,117,0,1,4
63,3441,7,93,0,1,2
35,5467,15,67,1,1,4
19,2024,10,102,0,1,4
71,2238,8,83,0,1,4
52,6895,8,29,0,1,3
33,3671,11,25,0,1,3
58,2499,13,24,0,1,3
53,3091,7,85,0,1,2
50,4973,11,44,1,1,3
21,2928,8,138,0,1,4
50,3497,9,27,1,1,3
31,536,12,86,0,1,4
38,3804,6,21,1,1,1
65,2617,9,138,0,1,4
37,7481,7,136,0,1,2
73,2835,10,30,0,1,3
25,13130,7,136,0,1,2
24,5495,12,114,0,1,4
20,1416,7,94,0,0,1
34,867,10,94,1,1,4
50,2744,10,133,0,0,4
65,3067,6,67,0,1,2
29,545,5,31,0,1,2
68,2829,10,65,1,1,4
39,2145,14,92,0,0,4
72,3645,5,146,0,1,2
39,22411,11,51,0,1,4
63,561,10,89,1,1,4
47,7667,10,26,1,1,3
55,4844,8,83,0,1,4
55,1813,11,34,1,1,3
62,3053,8,101,0,1,4
68,7432,6,77,0,1,2
71,3331,8,118,0,1,4
25,430,11,68,1,1,4
44,4292,17,99,0,1,4
44,6135,11,54,1,1,4
51,1971,8,130,1,1,4
38,7071,8,119,1,1,4
47,7651,10,116,0,1,4
50,11000,6,54,0,1,2
45,8128,8,127,0,1,4
64,37995,6,34,0,1,2
50,9566,8,38,1,1,3
22,3533,11,147,0,1,4
65,6642,11,23,1,0,3
36,3400,8,26,0,1,3
21,2325,8,144,0,0,4
52,1052,6,79,1,0,3
66,2645,11,87,0,1,4
34,7300,10,75,0,1,4
61,1336,8,49,0,1,3
45,4533,7,102,0,1,2
47,2130,14,140,0,1,4
46,3140,6,125,0,1,2
63,2969,12,111,0,1,4
70,3817,8,52,0,0,4
23,30354,10,35,0,0,3
52,1876,6,113,0,1,2
58,3046,7,30,0,1,2
54,2551,13,86,0,1,4
41,705,15,115,0,0,4
46,7473,7,125,1,0,3
66,1375,11,57,1,1,4
63,12480,10,83,0,1,4
70,1444,8,87,1,1,4
48,4642,8,62,0,1,4
52,17888,13,60,0,1,4
50,4981,6,64,1,1,3
69,1755,12,132,0,1,4
38,1292,4,30,0,1,2
49,351,11,121,1,0,4
40,2172,6,80,0,1,2
50,762,12,76,1,1,4
20,3057,11,40,0,0,3
35,2054,8,125,1,1,4
42,3472,9,48,0,1,3
59,993,10,70,0,1,4
48,1855,10,34,0,1,3
71,5285,10,128,0,1,4
75,4201,7,21,0,0,1
20,498,11,56,1,1,4
57,6782,9,55,0,1,4
63,1061,8,146,0,1,4
41,653,15,74,1,1,4
67,2414,14,55,0,1,4
49,33835,5,63,0,0,1
64,2155,4,75,0,0,1
39,3321,10,65,0,1,4
40,5976,10,33,1,1,3
19,1260,10,129,0,1,4
44,4090,5,68,0,0,1
59,1315,13,93,0,1,4
19,5227,13,125,0,1,4
43,4470,10,109,1,1,4
34,4087,5,113,1,0,3
57,3550,5,31,1,1,2
50,22358,10,81,0,1,4
26,3780,13,72,0,1,4
60,5075,14,116,1,1,4
71,4312,10,131,0,0,4
65,1095,7,114,0,1,2
56,1382,10,82,0,1,4
46,1008,12,48,0,1,3
59,1362,11,34,0,1,3
72,1796,11,37,1,1,3
43,2436,8,77,0,1,4
52,2407,5,115,0,1,2
67,5304,14,37,1,1,3
42,11504,10,79,0,1,4
41,9348,16,51,0,1,4
30,3937,6,72,0,1,2
75,1299,12,97,0,1,4
24,8512,11,36,1,0,3
74,1718,6,32,1,1,2
53,4602,8,30,1,1,3
62,3949,5,126,0,1,2
37,1031,8,74,1,0,4
18,1761,12,78,1,0,4
25,4979,10,85,0,1,4
63,2558,9,68,1,1,4
33,54845,4,91,0,1,2
31,1909,7,109,1,1,3
29,1087,10,111,0,1,4
68,3206,11,101,0,1,4
40,2159,12,22,0,0,3
32,536,11,91,1,1,4
45,6873,12,65,0,1,4
51,8032,12,65,0,1,4
19,7000,8,58,0,1,4
49,4106,8,54,1,1,4
40,2604,10,46,0,1,3
39,3542,14,124,0,0,4
68,2637,7,127,0,1,2
42,1581,12,60,0,1,4
75,13912,10,78,0,1,4
39,10561,11,74,1,1,4
75,5768,11,36,0,0,3
75,1945,5,120,0,1,2
39,5349,13,118,0,1,4
66,2349,15,140,0,1,4
69,2258,13,148,0,1,4
59,2933,9,117,1,1,4
23,4633,9,43,0,1,3
32,1996,12,104,0,1,4
71,2593,9,91,0,1,4
60,11128,10,52,1,1,4
54,558,7,117,0,1,2
50,8242,6,127,0,1,2
25,2613,12,36,0,1,3
70,1881,10,93,0,1,4
61,2202,6,23,1,1,1
61,3014,17,69,0,0,4
22,7542,14,94,0,1,4
56,3552,8,47,0,0,3
21,1823,7,109,0,1,2
23,5948,10,33,0,0,3
62,2708,10,72,1,0,4
49,5049,8,27,0,0,3
69,3910,7,95,0,1,2
47,1030,9,54,0,1,4
64,5280,7,64,0,0,1
52,575,6,76,0,0,1
72,2696,12,145,0,1,4
57,1085,7,75,0,0,1
69,414,10,62,1,1,4
33,3813,14,69,0,0,4
30,6858,13,133,0,1,4
67,2888,13,100,0,1,4
59,10770,13,122,1,0,4
47,2982,9,51,0,1,4
36,3559,12,81,0,1,4
34,1283,17,63,0,1,4
73,5335,10,110,0,1,4
36,5102,9,56,0,1,4
45,1962,9,92,0,1,4
75,827,9,119,1,1,4
72,669,12,25,1,0,3
43,8164,11,63,1,1,4
54,928,7,113,0,1,2
43,13664,11,132,0,0,4
70,1361,11,63,0,1,4
40,2212,9,141,1,0,4
26,50592,5,137,0,0,1
29,1861,8,27,0,0,3
70,1136,13,140,1,1,4
18,2123,7,42,0,0,1
75,653,9,53,0,1,4
75,2247,7,47,0,0,1
18,3204,13,146,0,1,4
64,8051,10,120,0,1,4
51,4962,11,122,1,1,4
49,3448,8,72,1,0,4
71,25589,8,87,0,0,4
65,5432,17,52,0,1,4
42,12520,12,71,0,1,4
57,7267,17,132,0,1,4
62,12044,7,56,0,1,2
70,9391,6,145,0,1,2
18,6865,11,61,1,0,4
33,5484,11,21,0,0,3
56,13170,7,24,0,1,1
22,1659,11,142,0,1,4
39,1430,12,111,0,1,4
46,604,6,111,0,1,2
72,5035,7,26,1,1,1
20,9527,9,104,0,0,4
29,1054,9,120,1,1,4
43,1444,6,48,0,1,2
33,12594,10,91,0,1,4
68,5968,15,68,0,1,4
54,5714,12,118,0,0,4
39,4513,11,78,0,1,4
74,2411,12,80,0,1,4
46,629,12,99,0,1,4
31,5389,7,31,0,1,2
45,25125,8,59,0,1,4
22,4020,7,99,0,1,2
64,950,10,40,0,1,3
66,2439,9,131,1,1,4
47,7708,20,21,1,1,3
63,8681,5,136,0,1,2
69,14151,9,40,0,0,3
22,8607,8,27,0,1,3
29,404,6,91,0,0,1
33,3749,11,59,1,1,4
43,704,11,38,0,1,3
43,5622,10,69,0,1,4
65,6199,10,124,1,1,4
38,1312,12,75,0,0,4
56,2207,15,144,1,1,4
53,1567,9,126,0,1,4
50,6773,11,89,0,1,4
47,2755,9,108,0,1,4
54,1568,11,118,0,1,4
40,6537,5,121,0,0,1
75,5484,12,116,1,1,4
27,6758,14,141,0,1,4
71,638,7,116,0,1,2
22,1668,7,82,0,1,2
53,5882,5,138,0,1,2
51,565,12,112,1,1,4
69,581,8,120,0,1,4
48,1430,14,109,0,0,4
27,6459,12,20,0,1,3
75,3014,11,134,0,1,4
36,4948,11,30,0,1,3
75,1114,12,58,1,1,4
49,1103,8,82,0,1,4
18,11989,5,23,1,1,1
73,4557,14,72,0,1,4
22,1017,5,21,1,1,1
62,412,10,66,0,1,4
21,729,12,105,0,1,4
33,1036,9,112,1,1,4
41,837,9,60,0,0,4
33,2882,8,23,0,1,3
72,5834,14,33,0,1,3
19,2723,13,117,1,0,4
66,1891,14,78,0,1,4
45,4202,13,142,0,1,4
49,2125,11,117,0,1,4
44,537,6,90,0,0,1
37,3650,13,95,0,1,4
41,4414,14,24,0,0,3
29,9931,12,109,0,1,4
67,7490,12,51,0,0,4
52,1703,12,140,1,0,4
50,2399,10,149,0,0,4
50,3087,6,63,0,1,2
68,3690,10,106,0,1,4
60,13284,5,113,0,0,1
54,2789,10,130,1,1,4
29,1771,11,57,1,1,4
20,10320,10,131,1,1,4
18,10072,6,95,1,1,3
50,7331,4,38,0,1,2
57,599,6,81,0,1,2
27,3231,6,74,0,1,2
60,2358,15,106,1,1,4
61,4612,9,148,0,1,4
46,1247,8,50,0,1,4
30,6768,13,46,0,1,3
29,4262,8,27,1,1,3
48,7153,12,37,0,1,3
63,1410,10,111,0,1,4
19,3885,9,20,0,1,3
68,6558,10,91,0,0,4
67,232,8,44,0,1,3
52,5807,14,83,1,1,4
40,2078,9,32,0,0,3
34,2911,11,146,0,0,4
43,10431,7,108,0,1,2
25,8880,8,23,0,1,3
46,1670,11,120,0,1,4
43,551,10,52,1,1,4
27,2761,14,123,0,1,4
43,8626,9,65,0,0,4
51,11097,7,30,0,1,2
68,367,16,40,0,1,3
58,5418,10,146,0,1,4
24,4731,9,60,1,1,4
21,6451,11,41,0,1,3
75,3020,5,86,1,1,3
70,507,10,81,0,1,4
67,1885,10,136,0,1,4
62,1188,11,99,1,1,4
28,1060,11,57,0,1,4
46,6527,9,65,0,1,4
73,2513,11,56,0,1,4
53,4419,9,68,0,1,4
42,8571,9,143,0,1,4
38,531,9,45,0,1,3
74,14814,6,136,0,1,2
53,17792,12,60,1,1,4
27,504,18,107,0,1,4
54,5958,10,78,0,0,4
26,21794,15,112,1,1,4
41,737,8,29,1,0,3
52,922,9,33,0,1,3
66,6724,9,33,1,1,3
52,4715,10,108,0,1,4
65,3708,10,135,0,1,4
53,2320,9,126,0,1,4
35,3481,7,149,0,1,2
66,240,7,49,0,1,2
56,898,7,46,0,1,2
49,2665,8,83,0,1,4
41,361,13,134,1,1,4
40,2590,19,66,1,1,4
49,2930,14,78,0,1,4
54,1426,7,114,0,1,2
29,1512,5,134,0,0,1
66,1047,15,120,0,1,4
72,1836,6,115,0,1,2
30,4272,11,82,0,1,4
40,4579,9,38,0,1,3
42,8304,7,74,0,1,2
52,2547,10,38,1,1,3
58,4708,15,44,1,1,3
47,698,6,137,0,1,2
34,3670,9,100,0,1,4
66,2385,10,59,0,1,4
37,4911,8,23,0,1,3
65,2248,10,134,0,0,4
42,2046,8,34,0,1,3
39,1308,4,56,1,1,3
30,8164,10,27,0,1,3
36,1614,10,22,0,0,3
66,19234,6,48,0,1,2
53,803,13,57,0,0,4
29,9616,5,139,0,1,2
58,338,5,41,0,1,2
36,2516,4,140,0,1,2
29,1655,9,136,0,1,4
26,4626,9,38,1,1,3
24,6746,13,94,0,1,4
45,20623,5,79,0,1,2
31,1751,5,31,1,1,2
48,1427,8,134,0,0,4
69,7202,13,88,0,1,4
36,2602,11,39,0,0,3
75,1579,7,41,1,1,2
64,1909,5,139,0,1,2
33,1464,9,87,0,1,4
70,561,9,138,0,1,4
22,14228,4,86,0,0,1
52,4857,7,64,0,1,2
29,595,5,103,0,1,2
42,13355,10,31,1,1,3
69,3558,9,128,1,1,4
38,2412,9,145,0,1,4
53,5062,10,112,1,1,4
70,1928,14,101,1,1,4
40,799,13,97,1,0,4
33,1738,9,58,1,1,4
74,2770,15,49,0,0,3
56,1212,8,119,1,1,4
62,4957,9,36,0,1,3
70,10716,9,84,0,1,4
59,2068,12,36,0,1,3
75,302,7,73,0,1,2
56,2524,12,70,0,0,4
31,1273,7,52,1,1,3
48,2406,12,68,0,0,4
75,2374,8,54,1,1,4
22,1259,14,36,0,0,3
52,759,9,28,1,1,3
40,3018,7,97,0,1,2
46,1383,13,91,0,1,4
60,17047,9,73,0,1,4
28,3813,6,141,1,0,3
35,1431,6,61,0,1,2
64,1855,13,132,0,1,4
29,2561,12,134,0,1,4
26,3287,8,83,1,1,4
27,5521,14,66,1,1,4
75,9366,4,57,0,1,2
61,2776,15,52,0,0,4
34,4699,12,81,0,0,4
55,4566,10,104,0,1,4
24,3290,9,62,0,0,4
63,2421,11,88,0,0,4
30,3434,9,132,0,1,4
57,1551,10,144,1,1,4
59,958,13,87,0,1,4
26,12632,11,60,1,1,4
67,3698,12,76,0,1,4
44,3917,12,84,1,0,4
75,2400,14,53,0,1,4
19,4905,8,29,0,1,3
22,2490,9,33,1,0,3
46,653,14,122,1,1,4
54,1746,6,101,0,1,2
55,5418,9,56,0,0,4
36,1646,8,43,0,1,3
25,476,15,53,1,1,4
65,2223,8,51,0,0,4
62,528,9,84,0,1,4
18,2189,7,113,1,0,3
39,9753,11,36,0,1,3
69,835,12,21,1,1,3
34,5698,16,127,0,1,4
24,16561,6,130,0,1,2
42,10646,11,83,0,1,4
62,2374,5,75,0,1,2
21,1193,9,149,1,1,4
53,3550,15,128,0,1,4
23,3600,10,68,0,1,4
48,7492,6,31,0,1,2
36,3137,6,53,0,1,2
61,4459,13,68,0,1,4
71,1201,7,134,0,1,2
56,6245,12,102,0,1,4
44,832,13,29,0,1,3
27,1591,7,142,0,1,2
43,5436,9,133,0,0,4
36,10839,10,51,1,1,4
56,5906,6,44,0,1,2
20,2885,18,114,1,1,4
62,2912,7,57,0,0,1
30,1202,12,49,0,0,3
67,2060,9,106,1,1,4
45,438,7,144,0,1,2
75,15661,4,60,1,1,3
37,27342,10,90,0,1,4
45,427,9,21,0,1,3
25,710,10,89,0,1,4
58,11642,6,93,0,0,1
56,1360,11,125,0,1,4
18,11909,11,145,1,1,4
20,6335,10,25,0,0,3
30,2162,15,48,0,1,3
45,7667,5,104,1,0,3
74,2873,14,133,0,1,4
66,2824,11,113,0,1,4
42,5057,11,95,1,1,4
73,6582,8,112,0,1,4
50,8122,7,111,0,1,2
55,31415,8,102,0,1,4
70,4292,8,95,1,1,4
23,10860,12,128,0,0,4
75,10562,13,51,0,1,4
61,5913,5,43,0,1,2
62,1758,8,58,0,1,4
49,8927,7,80,0,0,1
62,4655,19,29,1,1,3
64,821,11,73,0,0,4
38,8214,10,68,1,0,4
33,586,10,134,0,1,4
71,5696,9,135,1,1,4
38,1716,4,88,0,1,2
28,3509,15,148,1,1,4
54,739,10,33,1,1,3
53,1445,15,142,0,1,4
52,1766,15,73,1,1,4
36,2559,14,142,1,1,4
37,1644,13,36,1,1,3
74,4221,9,125,0,1,4
35,4802,12,67,1,0,4
64,1907,11,120,0,1,4
58,3099,9,21,0,1,3
66,5072,15,95,1,1,4
31,315,11,78,0,1,4
32,4638,7,87,0,0,1
48,1569,5,72,0,0,1
18,207,8,26,1,0,3
70,2014,6,101,0,1,2
71,1088,10,129,1,1,4
71,1864,5,133,0,1,2
20,4755,13,24,1,1,3
33,6977,15,129,0,1,4
40,10824,14,60,1,1,4
74,11506,7,104,0,1,2
28,1057,8,128,0,1,4
29,9996,13,130,0,0,4
27,877,10,33,1,1,3
49,8587,9,121,0,1,4
33,5276,10,72,0,1,4
25,3535,16,28,0,1,3
55,1228,14,133,0,1,4
29,9872,10,75,1,0,4
41,1088,3,79,0,1,2
45,2914,10,112,0,1,4
70,3190,15,111,1,1,4
25,545,11,59,0,1,4
75,3459,17,84,0,1,4
45,996,13,36,0,1,3
53,12592,9,31,0,1,3
43,44527,10,73,1,1,4
25,1431,6,64,1,1,3
75,2012,15,32,0,1,3
67,3520,6,112,0,1,2
45,379,10,35,1,1,3
45,15420,15,32,0,1,3
54,2167,9,34,1,1,3
58,1998,9,123,1,0,4
53,5941,8,80,0,1,4
44,3245,9,24,0,1,3
71,3513,12,52,0,0,4
34,6929,10,139,1,1,4
26,2630,8,75,0,1,4
50,969,10,96,1,1,4
70,10137,8,30,0,1,3
37,1659,12,81,0,1,4
30,1753,9,148,0,1,4
45,3754,11,146,0,1,4
65,807,8,142,0,1,4
46,3786,12,48,0,0,3
30,7689,12,83,0,1,4
63,14471,9,128,1,0,4
52,6248,11,127,1,1,4
23,8716,12,68,0,1,4
35,1572,10,66,1,1,4
68,6804,12,127,0,0,4
22,2462,9,103,1,1,4
64,9503,7,47,1,1,2
42,3302,6,55,0,1,2
19,8756,7,35,1,0,1
27,3502,6,65,0,0,1
73,1383,13,143,0,1,4
47,3101,14,79,0,1,4
67,2141,6,91,1,1,3
62,10907,7,135,0,0,1
22,768,8,49,0,1,3
72,557,13,48,0,1,3
73,3992,8,25,0,1,3
50,2157,6,95,0,1,2
71,947,11,67,0,1,4
18,2877,10,88,1,1,4
35,3890,10,145,1,0,4
49,10183,11,94,1,1,4
64,467,6,107,0,1,2
66,3588,7,112,1,1,3
28,15386,8,69,0,1,4
38,14676,6,61,1,1,3
43,3269,11,55,0,0,4
42,1650,6,32,0,1,2
39,2276,15,109,0,0,4
44,1113,10,134,0,1,4
66,1917,10,121,0,1,4
30,3223,11,94,0,1,4
50,4772,10,91,0,1,4
51,6998,5,55,1,1,3
58,2668,14,137,0,1,4
52,2478,5,79,0,1,2
18,7161,7,136,1,1,3
38,2115,11,120,0,1,4
65,5995,10,109,0,1,4
72,571,9,139,0,1,4
23,4755,7,46,0,1,2
45,24666,8,142,1,1,4
34,1180,9,147,0,1,4
22,12495,14,28,0,1,3
48,5966,8,42,0,1,3
22,7148,8,30,0,1,3
